library_function_call,last_method_call,line,file,config,Responsable_AI_principles
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,356,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,510,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy
privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,49,data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py,privacy,Privacy
opacus.profiler.profiler.record,profiler.record,652,parkbeomsik\opacus-fusion\opacus\optimizers\optimizer.py,opacus,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.SampleEntry,privacy_ledger.SampleEntry,164,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,46,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tutorials\mnist_dpsgd_tutorial_keras.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,167,riku1212\dp-tsc-baseline\privacy\tutorials\mnist_lr_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,122,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\codelabs\codelab.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,51,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tutorials\mnist_dpsgd_tutorial_vectorized.py,privacy,Privacy
tensorflow_privacy.privacy.optimizers.dp_optimizer.DPGradientDescentGaussianOptimizer,DPGradientDescentGaussianOptimizer,104,riku1212\dp-tsc-baseline\privacy\tutorials\mnist_dpsgd_tutorial_keras.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,137,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,160,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
opacus.utils.module_inspection.get_layer_type,get_layer_type,197,woodyx218\opacus_global_clipping\opacus\dp_model_inspector.py,opacus,Privacy
tensorflow_privacy.privacy.estimators.binary_class_head.DPBinaryClassHead,binary_class_head.DPBinaryClassHead,20,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\estimators\binary_class_head_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,91,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\dp_query\quantile_estimator_query.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,61,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy
opacus.layers.dp_multihead_attention.SequenceBias,SequenceBias,139,FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py,opacus,Privacy
tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._run_threshold_loss_attack,mia._run_threshold_loss_attack,110,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy
opacus.utils.module_modification.convert_batchnorm_modules,module_modification.convert_batchnorm_modules,62,woodyx218\opacus_global_clipping\tutorials\building_image_classifier.py,opacus,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,148,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,174,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,105,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation_example.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,273,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.models.LogisticRegressionAttacker,models.LogisticRegressionAttacker,18,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\models_test.py,privacy,Privacy
privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,104,vijay-khanna\data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults.load,AttackResults.load,162,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy
privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,127,data-science-on-aws-workshop-2021-06-28\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_data,test_utils.make_input_data,48,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\estimators\v1\dnn_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,BoltOn,338,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,74,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,84,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,34,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\quantile_adaptive_clip_sum_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,83,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._get_accuracy,mia._get_accuracy,82,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,105,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation_example.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,53,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,491,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy
opacus.utils.module_modification.convert_batchnorm_modules,mm.convert_batchnorm_modules,161,msai-amin\DP-FL\opacus\utils\tests\module_modification_test.py,opacus,Privacy
privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,113,ChubaOraka\data-science-on-aws-workshop-2021-05-15\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,201,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,180,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\quantile_adaptive_clip_sum_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,21,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tutorials\bolton_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.utils.log_loss,utils.log_loss,241,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.dataset_slicing.get_slice,get_slice,128,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,34,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\dp_query\quantile_adaptive_clip_sum_query_test.py,privacy,Privacy
differential_privacy.multiple_teachers.deep_cnn.train,deep_cnn.train,70,aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\research\pate_2017\train_teachers.py,privacy,Privacy
opacus.utils.module_inspection.ModelInspector,mi.ModelInspector,53,msai-amin\DP-FL\opacus\utils\tests\module_inspection_test.py,opacus,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_model_fn,test_utils.make_model_fn,57,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\estimators\multi_label_head_test.py,privacy,Privacy
privacy.optimizers.no_privacy_query.NoPrivacySumQuery,no_privacy_query.NoPrivacySumQuery,45,data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\optimizers\no_privacy_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.keras_evaluation.MembershipInferenceCallback,MembershipInferenceCallback,65,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_example.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.no_privacy_query.NoPrivacyAverageQuery,no_privacy_query.NoPrivacyAverageQuery,46,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\no_privacy_query_test.py,privacy,Privacy
opacus.utils.module_modification.convert_batchnorm_modules,mm.convert_batchnorm_modules,169,msai-amin\DP-FL\opacus\utils\tests\module_modification_test.py,opacus,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,172,riku1212\dp-tsc-baseline\privacy\tutorials\mnist_lr_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,357,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\dp_query\quantile_adaptive_clip_sum_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,356,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,102,vijay-khanna\data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py,privacy,Privacy
differential_privacy.multiple_teachers.utils.batch_indices,utils.batch_indices,576,vijay-khanna\data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\research\pate_2017\deep_cnn.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack.run_attacks,mia.run_attacks,121,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\codelabs\codelab.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,215,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,284,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._run_attack,mia._run_attack,39,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy
differential_privacy.secret_sharer.generate_secrets,secret_sharer.generate_secrets,248,NigeloYang\federated_learning_differential_privacy\Federated_Learning\paper_model\DP_LAC\run_stackoverflow_with_secrets.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.tf_estimator_evaluation.calculate_losses,tf_estimator_evaluation.calculate_losses,61,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.utils_tensorboard.write_results_to_tensorboard,write_results_to_tensorboard,94,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,174,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,89,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.gdp_accountant.compute_eps_poisson,compute_eps_poisson,198,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tutorials\movielens_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,222,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,StrongConvexBinaryCrossentropy,200,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.quantile_adaptive_clip_sum_query.QuantileAdaptiveClipSumQuery,quantile_adaptive_clip_sum_query.QuantileAdaptiveClipSumQuery,61,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\dp_query\quantile_adaptive_clip_sum_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,128,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
crypten.save,crypten.save,134,hitimr\ML_2020\old\peter\crypten\first_crypten.py,crypten,Privacy
opacus.PrivacyEngine,PrivacyEngine,77,woodyx218\opacus_global_clipping\tutorials\building_image_classifier.py,opacus,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,119,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,189,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py,privacy,Privacy
opacus.utils.uniform_sampler.DistributedPoissonBatchSampler,DistributedPoissonBatchSampler,293,woodyx218\opacus_global_clipping\examples\cifar10.py,opacus,Privacy
privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,65,ChubaOraka\data-science-on-aws-workshop-2021-06-28\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.optimizers.dp_optimizer_vectorized.make_vectorized_optimizer_class,dp_optimizer_vectorized.make_vectorized_optimizer_class,116,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_vectorized_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,152,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
opacus.PrivacyEngine,PrivacyEngine,306,woodyx218\opacus_global_clipping\opacus\tests\privacy_engine_test.py,opacus,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,71,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\dp_query\quantile_adaptive_clip_sum_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.plotting.save_plot,plotting.save_plot,109,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.nested_query.NestedSumQuery,nested_query.NestedSumQuery,141,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,163,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\quantile_estimator_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.utils.log_loss_from_logits,utils.log_loss_from_logits,248,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures.py,privacy,Privacy
opacus.profiler.profiler.record,profiler.record,814,parkbeomsik\opacus-fusion\opacus\optimizers\optimizer.py,opacus,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.GaussianSumQueryEntry,privacy_ledger.GaussianSumQueryEntry,162,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,491,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.trained_attack_models.choose_model,trained_attack_models.choose_model,148,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,152,aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\lm_dpsgd_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,31,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing_test.py,privacy,Privacy
privacy.optimizers.dp_optimizer.make_optimizer_class,dp_optimizer.make_optimizer_class,62,ChubaOraka\data-science-on-aws-workshop-2021-06-28\10_pipeline\kubeflow\wip\privacy\tutorials\mnist_dpsgd_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.utils.compute_performance_metrics,utils.compute_performance_metrics,99,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,BoltOn,338,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.multi_class_head.DPMultiClassHead,multi_class_head.DPMultiClassHead,20,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\estimators\multi_class_head_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,245,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.get_flattened_attack_metrics,get_flattened_attack_metrics,140,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation_example.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,51,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\quantile_adaptive_clip_sum_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.dataset_slicing.get_single_slice_specs,get_single_slice_specs,142,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy
opacus.layers.DPMultiheadAttention,DPMultiheadAttention,156,FarrandTom\deep-learning-fairness\opacus\tests\layers_grad_test.py,opacus,Privacy
tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,37,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.utils_tensorboard.write_results_to_tensorboard,write_results_to_tensorboard,94,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation.py,privacy,Privacy
opacus.profiler.profiler.record,profiler.record,32,parkbeomsik\opacus-fusion\opacus\grad_sample\layer_norm.py,opacus,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,46,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_eager_test.py,privacy,Privacy
opacus.utils.module_inspection.ModelInspector,ModelInspector,134,woodyx218\opacus_global_clipping\opacus\tests\docstring_examples_test.py,opacus,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,74,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy
privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,68,ChubaOraka\data-science-on-aws-workshop-2021-06-28\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py,privacy,Privacy
crypten.save,crypten.save,152,hitimr\ML_2020\old\peter\crypten\first_crypten.py,crypten,Privacy
opacus.privacy_analysis.compute_rdp,privacy_analysis.compute_rdp,57,msai-amin\DP-FL\opacus\tests\docstring_examples_test.py,privacy,Privacy
opacus.custom_tensor.GradOutputs,GradOutputs,30,parkbeomsik\opacus-fusion\opacus\grad_sample\group_norm.py,opacus,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,75,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_eager_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,47,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_keras.py,privacy,Privacy
privacy.optimizers.nested_query.NestedQuery,nested_query.NestedQuery,54,leoalexand\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py,privacy,Privacy
privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,127,data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,50,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_data,test_utils.make_input_data,68,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\estimators\multi_class_head_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,85,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,137,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,270,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,105,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,27,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\compute_dp_sgd_privacy_lib.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,72,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing_test.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_fn,test_utils.make_input_fn,61,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\estimators\multi_label_head_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack.run_attacks,mia.run_attacks,119,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\codelabs\privacy_report_codelab.py,privacy,Privacy
privacy.optimizers.nested_query.NestedQuery,nested_query.NestedQuery,107,vijay-khanna\data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py,privacy,Privacy
opacus.profiler.profiler.record,profiler.record,54,parkbeomsik\opacus-fusion\opacus\grad_sample\linear.py,opacus,Privacy
