library,function,line,file,logging_type
logging.debug,logging.debug,245,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,248,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,251,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,257,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,263,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,267,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,270,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,273,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,278,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.info,logging.info,43,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\gen\client_generation_test.py,Python logging
logging.error,logging.error,47,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\gen\client_generation_test.py,Python logging
logging.warning,logging.warning,149,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\gen\command_registry.py,Python logging
logging.warning,logging.warning,64,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\gen\gen_client.py,Python logging
logging.warning,logging.warning,68,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\gen\gen_client.py,Python logging
logging.error,logging.error,146,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\gen\gen_client.py,Python logging
logging.error,logging.error,166,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\gen\gen_client.py,Python logging
logging.warn,logging.warn,336,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\gen\service_registry.py,Python logging
logging.warn,logging.warn,344,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\gen\service_registry.py,Python logging
logging.info,logging.info,325,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\apitools\gen\util.py,Python logging
logging.debug,logging.debug,377,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\google\cloud\streaming\http_wrapper.py,Python logging
logging.warning,logging.warning,61,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\googledatastore\connection.py,Python logging
logging.exception,logging.exception,73,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\docs\lib\python2.7\site-packages\pbr\core.py,Python logging
logging.debug,logging.debug,377,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\google\cloud\streaming\http_wrapper.py,Python logging
flask.current_app.logger.error,current_app.logger.error,448,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\oauth2client\contrib\flask_util.py,Python logging
flask.current_app.logger.error,current_app.logger.error,464,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\oauth2client\contrib\flask_util.py,Python logging
logging.exception,logging.exception,73,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pbr\core.py,Python logging
logging.warn,logging.warn,23,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\deprecated_methods_py3.py,Python logging
logging.debug,renamed_logging.debug,12,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_format_interpolation.py,Python logging
logging.log,renamed_logging.log,13,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_format_interpolation.py,Python logging
logging.debug,renamed_logging.debug,14,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_format_interpolation.py,Python logging
logging.log,renamed_logging.log,15,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_format_interpolation.py,Python logging
logging.debug,renamed_logging.debug,17,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_format_interpolation.py,Python logging
logging.debug,renamed_logging.debug,18,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_format_interpolation.py,Python logging
logging.log,renamed_logging.log,19,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_format_interpolation.py,Python logging
logging.warn,renamed_logging.warn,5,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_not_lazy.py,Python logging
logging.exception,renamed_logging.exception,6,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_not_lazy.py,Python logging
logging.log,renamed_logging.log,7,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_not_lazy.py,Python logging
logging.warn,renamed_logging.warn,9,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_not_lazy.py,Python logging
logging.log,renamed_logging.log,10,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_not_lazy.py,Python logging
logging.warn,renamed_logging.warn,11,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\functional\logging_not_lazy.py,Python logging
logging.warning,renamed_logging.warning,15,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_bug113231.py,Python logging
logging.info,logging.info,13,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_e12xx.py,Python logging
logging.info,logging.info,14,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_e12xx.py,Python logging
logging.info,logging.info,15,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_e12xx.py,Python logging
logging.info,logging.info,16,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_e12xx.py,Python logging
logging.info,logging.info,17,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_e12xx.py,Python logging
logging.info,logging.info,18,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_e12xx.py,Python logging
logging.info,logging.info,21,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_e12xx.py,Python logging
logging.info,logging.info,22,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_e12xx.py,Python logging
logging.info,logging.info,23,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_e12xx.py,Python logging
logging.info,logging.info,24,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_e12xx.py,Python logging
logging.info,logging.info,25,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_e12xx.py,Python logging
logging.info,logging.info,26,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_e12xx.py,Python logging
logging.info,logging.info,27,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\lint\lib\python2.7\site-packages\pylint\test\input\func_e12xx.py,Python logging
logging.warning,logging.warning,55,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\protorpclite\protojson.py,Python logging
logging.error,logging.error,63,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\protorpclite\protojson.py,Python logging
logging.info,logging.info,389,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\base_api.py,Python logging
logging.info,logging.info,398,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\base_api.py,Python logging
logging.info,logging.info,400,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\base_api.py,Python logging
logging.info,logging.info,404,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\base_api.py,Python logging
logging.info,logging.info,407,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\base_api.py,Python logging
logging.info,logging.info,412,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\base_api.py,Python logging
logging.debug,logging.debug,240,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,243,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,245,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,248,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
