library,function,line,file
orchestrator.utils.cloudwatch_logger.CloudWatchLogger,CloudWatchLogger,708,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\data-science-on-aws-workshop-2021-06-28\09_deploy\common\sagemaker_rl\orchestrator\workflow\manager\experiment_manager.py
tensorflow.logging.warning,tf.logging.warning,16,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\data-science-on-aws-workshop-2021-06-28\10_pipeline\kubeflow\wip\privacy\optimizers\dp_optimizer.py
wandb.termwarn,wandb.termwarn,26,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\deepchem\deepchem\deepchem\models\keras_model.py
torch.utils.tensorboard.device,torch.device,196,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\deepchem\deepchem\deepchem\models\torch_models\torch_model.py
torch.utils.tensorboard.utils.tensorboard.SummaryWriter,torch.utils.tensorboard.SummaryWriter,245,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\deepchem\deepchem\deepchem\models\torch_models\torch_model.py
torch.utils.tensorboard.zeros,torch.zeros,893,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\deepchem\deepchem\deepchem\models\torch_models\torch_model.py
torch.utils.tensorboard.reshape,torch.reshape,901,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\deepchem\deepchem\deepchem\models\torch_models\torch_model.py
torch.utils.tensorboard.stack,torch.stack,901,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\deepchem\deepchem\deepchem\models\torch_models\torch_model.py
torch.utils.tensorboard.as_tensor,torch.as_tensor,914,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\deepchem\deepchem\deepchem\models\torch_models\torch_model.py
torch.utils.tensorboard.save,torch.save,1008,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\deepchem\deepchem\deepchem\models\torch_models\torch_model.py
torch.utils.tensorboard.load,torch.load,1061,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\deepchem\deepchem\deepchem\models\torch_models\torch_model.py
wandb.Table,wandb.Table,333,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dylan-slack\TalkToModel\experiments\compute_parsing_accuracy.py
wandb.log,wandb.log,215,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dylan-slack\TalkToModel\parsing\t5\t5_trainer.py
utils.logging.tqdm_joblib,tqdm_joblib,129,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\EducationalTestingService\rsmtool\rsmtool\rsmxval.py
wandb.login,wandb.login,20,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\eunbeejang\privacy-fairness-tradeoffs\main.py
